,B cells,DC,HSC,Monocytes,NK cells,T cells
B cells_PB196,0.34905638726348437,0.06069241985313381,0.367450319012824,0.0,0.0,0.2228008738705578
NK cells_PB197,0.0,0.0,0.3013533930215965,0.0,0.5807048286869999,0.11794177829140351
NK cells_PB198,0.0,0.0,0.2710993673398685,0.0,0.5783186896250228,0.15058194303510875
Monocytes_PB199,0.0,0.0,0.35569191434803016,0.5061917800922128,0.0,0.1381163055597571
Monocytes_PB200,0.0807068148743432,0.10503200189671803,0.35858613905659587,0.30283268471377095,0.0,0.15284235945857189
HSC_PB201,0.01090717517379528,0.08500006562834779,0.743854110921789,0.0482149518609468,0.0,0.11202369641512115
B cells_PB202,0.1163873149022289,0.15213063681920475,0.3528671369299309,0.1937872607907844,0.0,0.18482765055785091
HSC_PB203,0.0,0.12070415316665473,0.48760524164419006,0.1544197235511745,0.0,0.2372708816379808
Monocytes_PB204,0.0,0.025251432691826226,0.33728775104179576,0.6030477456926697,0.0,0.03441307057370829
Monocytes_PB205,0.0,0.06729128979225622,0.3511325503507081,0.34489009808934495,0.0,0.23668606176769066
B cells_PB206,0.0,0.2792033354728,0.3547544008342512,0.06791141779176388,0.0,0.29813084590118494
Monocytes_PB207,0.28068048069705537,0.0799363890240559,0.33078925060722664,0.0,0.0,0.3085938796716621
Monocytes_PB208,0.0,0.06240896575692973,0.35989975313239436,0.3479914255133187,0.0,0.22969985559735734
Monocytes_PB209,0.1663833603455928,0.004646541581832394,0.33762690944965584,0.0,0.0,0.4913431886229189
Monocytes_PB210,0.06073941413478041,0.11903762524943504,0.34637359985279487,0.0,0.0,0.47384936076298967
Monocytes_PB211,0.12261632711256647,0.1833982313226509,0.32578872690556476,0.30485801013700276,0.0,0.06333870452221513
Monocytes_PB212,0.0,0.07552657937284556,0.339976502117102,0.4180160079612262,0.0,0.16648091054882627
DC_PB213,0.0,0.7959543256880334,0.20404567431196663,0.0,0.0,0.0
NK cells_PB214,0.0,0.25775831234087326,0.3314047350497796,0.13777177232280494,0.16123464385317704,0.11183053643336514
Monocytes_PB215,0.0,0.11779103627254642,0.34667723072517626,0.3338233978500243,0.0,0.20170833515225303
DC_PB216,0.0,0.5716740427960417,0.3041627850724562,0.0,0.0,0.12416317213150208
NK cells_PB217,0.22116237317929394,0.007712606252475487,0.3100194816165668,0.0,0.262698915296993,0.1984066236546707
B cells_PB218,0.584102351077726,0.0,0.3233654526341201,0.0,0.0,0.09253219628815382
NK cells_PB219,0.0,0.07134483240233665,0.3291540703672834,0.0,0.5780635003524986,0.021437596877881368
NK cells_PB220,0.0,0.0,0.3280850841818007,0.0,0.6251288219670982,0.04678609385110115
B cells_PB221,0.5317714071822588,0.052390701644053336,0.3369629517621228,0.0,0.0,0.078874939411565
B cells_PB222,0.4566444306423056,0.027685902320434094,0.3774905238106091,0.0,0.0,0.13817914322665117
HSC_PB223,0.0,0.1269688964662889,0.5179918655901331,0.09403932207091792,0.0,0.2609999158726601
NK cells_PB224,0.0,0.10305519549386821,0.33077746396616664,0.0,0.3429484170982433,0.22321892344172192
Monocytes_PB225,0.0,0.08920063065022545,0.351363535382008,0.12641208299718268,0.0,0.4330237509705839
T cells_PB226,0.09819587692228486,0.11795333404602233,0.3655990695087086,0.2894405083554692,0.0,0.12881121116751496
DC_PB227,0.0,0.8823217404629377,0.11767825953706233,0.0,0.0,0.0
DC_PB228,0.0,0.651572532507348,0.27007406407487694,0.0,0.0,0.07835340341777497
HSC_PB229,0.0,0.030134239682530418,0.8481690031771163,0.0,0.05896337088709901,0.0627333862532542
NK cells_PB230,0.0,0.0,0.2891139127134039,0.0,0.44346438438333086,0.2674217029032652
T cells_PB231,0.0,0.04726048718546142,0.37364134508456726,0.06580037574994614,0.0,0.5132977919800251
B cells_PB232,0.5262090225582142,0.0,0.3168207785325689,0.0,0.0,0.1569701989092169
DC_PB233,0.0,0.723578003415363,0.2137638947699221,0.0,0.0,0.06265810181471475
HSC_PB234,5.9152092860572136e-05,0.14648573916147667,0.6690758823739695,0.08039148008288169,0.0,0.10398774628881152
NK cells_PB235,0.0,0.10153947339396474,0.33534497719522793,0.04150892197353828,0.1861568382830544,0.3354497891542146
T cells_PB236,0.0,0.18490585718844965,0.3575816136543172,0.07311830099761832,0.0,0.3843942281596148
B cells_PB237,0.3505926597483478,0.11588074098160082,0.33487851823481335,0.0,0.0,0.19864808103523804
Monocytes_PB238,0.0,0.0,0.3458590197681997,0.0,0.0,0.6541409802318003
HSC_PB239,0.0,0.09338875943130606,0.7340541146563354,0.005937835369520423,0.0,0.16661929054283803
Monocytes_PB240,0.09412458193370953,0.11337781279200815,0.3583524851788373,0.0,0.0,0.4341451200954451
HSC_PB241,0.005308726631208919,0.08482298697371629,0.7941126085950176,0.033810640109340186,0.00094467071661709,0.0810003669740998
HSC_PB242,0.0,0.0,0.9088814695125296,0.0,0.0,0.09111853048747046
